Step,Value
25140,-3948.71923828125
45140,-3995.79345703125
65140,-4009.08251953125
85140,-4006.3603515625
105140,-4000.924072265625
125140,-4001.31005859375
145140,-4001.143798828125
165140,-4001.21435546875
185140,-4001.0068359375
205140,-4001.137939453125
