Step,Value
1000,-3948.71923828125
2000,-3995.79345703125
3000,-4009.08251953125
4000,-4006.3603515625
5000,-4000.924072265625
6000,-4001.31005859375
7000,-4001.143798828125
8000,-4001.21435546875
9000,-4001.0068359375
10000,-4001.137939453125
