Step,Value
31,-3948.71923828125
62,-3995.79345703125
94,-4009.08251953125
125,-4006.3603515625
157,-4000.924072265625
188,-4001.31005859375
219,-4001.143798828125
254,-4001.21435546875
292,-4001.0068359375
329,-4001.137939453125
