Step,Value
256000,-3948.71923828125
512000,-3995.79345703125
768000,-4009.08251953125
1024000,-4006.3603515625
1280000,-4000.924072265625
1536000,-4001.31005859375
1792000,-4001.143798828125
2048000,-4001.21435546875
2304000,-4001.0068359375
2560000,-4001.137939453125
