Step,Value
1000,8.872560101735871e-06
2000,1.5935760529828258e-05
3000,2.2998960048425943e-05
4000,3.0062159567023627e-05
5000,3.712535908562131e-05
6000,4.41885604232084e-05
7000,5.125176176079549e-05
8000,5.831495946040377e-05
9000,6.537816079799086e-05
10000,7.244136213557795e-05
