Step,Value
25020,-4005.036376953125
45020,-3970.155517578125
65020,-3702.922607421875
85020,-3928.75244140625
105020,-2083.94140625
125020,-1978.1431884765625
145020,-1648.115478515625
165020,-1769.7657470703125
185020,-1585.8260498046875
205020,-706.6278686523438
