Step,Value
74,-4005.036376953125
155,-3970.155517578125
183,-3702.922607421875
266,-3928.75244140625
427,-2083.94140625
482,-1978.1431884765625
510,-1648.115478515625
538,-1769.7657470703125
565,-1585.8260498046875
593,-706.6278686523438
