Step,Value
256000,-4005.036376953125
512000,-3970.155517578125
768000,-3702.922607421875
1024000,-3928.75244140625
1280000,-2083.94140625
1536000,-1978.1431884765625
1792000,-1648.115478515625
2048000,-1769.7657470703125
2304000,-1585.8260498046875
2560000,-706.6278686523438
