Step,Value
1000,-4005.036376953125
2000,-3970.155517578125
3000,-3702.922607421875
4000,-3928.75244140625
5000,-2083.94140625
6000,-1978.1431884765625
7000,-1648.115478515625
8000,-1769.7657470703125
9000,-1585.8260498046875
10000,-706.6278686523438
