Step,Value
1000,9.007199878396932e-06
2000,1.6207199223572388e-05
3000,2.3407199478242546e-05
4000,3.0607199732912704e-05
5000,3.780719998758286e-05
6000,4.500720024225302e-05
7000,5.220720049692318e-05
8000,5.9407200751593336e-05
9000,6.66072010062635e-05
10000,7.380719762295485e-05
